algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LKE_results,Zookeeper_0.70,0.00175,0.00055,0.00029,0.00161,0.00517,0.00373
LKE_results,Zookeeper_0.50,0.00255,0.00056,0.00033,0.00275,0.00405,0.00367
LKE_results,Proxifier_0.80,0.00136,0.00045,0.00026,0.00112,0.00363,0.00332
LKE_results,HPC_0.80,--,--,--,--,--,--
LKE_results,BGL_0.10,0.00526,0.00129,0.00058,0.00494,0.00469,0.00381
LKE_results,Hadoop_0.40,0.00417,0.00043,0.00024,0.0026,0.00384,0.00344
LKE_results,HPC_0.90,--,--,--,--,--,--
LKE_results,Hadoop_0.50,0.00274,0.0007,0.00052,0.00276,0.00423,0.00351
LKE_results,Hadoop_0.10,--,--,--,--,--,--
LKE_results,Hadoop_0.30,0.00451,0.00051,0.00029,0.00322,0.00405,0.00358
LKE_results,Linux_0.90,0.00124,0.00043,0.00025,0.00073,0.00342,0.00338
LKE_results,Hadoop_0.70,0.00156,0.00057,0.00036,0.00197,0.00412,0.0046
LKE_results,Proxifier_0.50,0.00262,0.0004,0.00022,0.0022,0.00407,0.00331
LKE_results,Linux_0.10,0.00532,0.00137,0.00082,0.00953,0.00673,0.00618
LKE_results,BGL_0.20,0.00912,0.00151,0.00078,0.00696,0.00687,0.00548
LKE_results,Zookeeper_0.20,0.0072,0.00172,0.00083,0.00626,0.00622,0.00475
LKE_results,Proxifier_0.60,0.00221,0.0007,0.00042,0.00257,0.00413,0.00358
LKE_results,BGL_0.90,0.00099,0.00037,0.00021,0.00053,0.00367,0.00367
LKE_results,Linux_0.50,0.00252,0.00074,0.00036,0.00283,0.0057,0.00579
LKE_results,HPC_0.40,--,--,--,--,--,--
LKE_results,BGL_0.60,0.00295,0.00067,0.0003,0.00203,0.00443,0.0037
LKE_results,HPC_0.70,0.00227,0.0016,0.00095,0.0048,0.00503,0.00506
LKE_results,BGL_0.70,0.00288,0.00053,0.00028,0.00185,0.00378,0.00343
LKE_results,Linux_0.30,0.00543,0.00094,0.00032,0.00331,0.00367,0.00333
LKE_results,Proxifier_0.70,0.00194,0.00035,0.0002,0.00128,0.00339,0.00328
LKE_results,HPC_0.10,0.00435,0.00044,0.00023,0.00356,0.00353,0.0032
LKE_results,BGL_0.80,0.00175,0.00036,0.00019,0.00098,0.00328,0.00336
LKE_results,Linux_0.60,0.00226,0.00053,0.00028,0.00206,0.0036,0.00328
LKE_results,HDFS_0.80,0.00127,0.00048,0.00027,0.00116,0.00388,0.00389
LKE_results,Hadoop_0.60,--,--,--,--,--,--
LKE_results,BGL_0.30,0.0035,0.0007,0.00039,0.00353,0.00413,0.00335
