algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LKE_results,Linux_0.70,0.00602,0.00105,0.00057,0.00366,0.00687,0.00597
LKE_results,Hadoop_0.90,0.00236,0.00076,0.00042,0.00134,0.00682,0.00538
LKE_results,BGL_0.50,0.00596,0.00081,0.0004,0.00329,0.00612,0.00537
LKE_results,Proxifier_0.10,0.01966,0.00114,0.00063,0.00635,0.00741,0.00443
LKE_results,Hadoop_0.80,0.00223,0.00054,0.00037,0.00131,0.00484,0.00419
LKE_results,Proxifier_0.90,0.00237,0.00059,0.00034,0.00097,0.00433,0.00451
LKE_results,Zookeeper_0.70,0.00465,0.00081,0.00039,0.00235,0.00537,0.00476
LKE_results,Zookeeper_0.50,0.00504,0.00135,0.00078,0.00603,0.00471,0.00379
LKE_results,Proxifier_0.80,0.002,0.00056,0.00027,0.00112,0.00357,0.004
LKE_results,HPC_0.80,--,--,--,--,--,--
LKE_results,BGL_0.10,0.00626,0.00238,0.00115,0.01099,0.0054,0.00516
LKE_results,Hadoop_0.40,0.0099,0.00065,0.00036,0.00411,0.00438,0.00359
LKE_results,HPC_0.90,--,--,--,--,--,--
LKE_results,Hadoop_0.50,0.0036,0.00115,0.00081,0.0074,0.00547,0.00428
LKE_results,Hadoop_0.10,--,--,--,--,--,--
LKE_results,Hadoop_0.30,0.01217,0.00085,0.00047,0.00623,0.00559,0.0044
LKE_results,Linux_0.90,0.0026,0.00053,0.00027,0.00082,0.00658,0.00546
LKE_results,Hadoop_0.70,0.0027,0.0006,0.00037,0.002,0.00667,0.00466
LKE_results,Proxifier_0.50,0.00374,0.00039,0.00024,0.002,0.00494,0.00443
LKE_results,Linux_0.10,0.0109,0.00144,0.00082,0.01016,0.00606,0.0049
LKE_results,BGL_0.20,0.01186,0.00187,0.00088,0.00893,0.00586,0.00483
LKE_results,Zookeeper_0.20,0.01302,0.00136,0.00075,0.00624,0.00674,0.0076
LKE_results,Proxifier_0.60,0.005,0.00076,0.00043,0.00264,0.00461,0.00549
LKE_results,BGL_0.90,0.00275,0.00066,0.00036,0.00106,0.00464,0.00452
LKE_results,Linux_0.50,0.00555,0.00081,0.00043,0.00357,0.0044,0.00463
LKE_results,HPC_0.40,--,--,--,--,--,--
LKE_results,BGL_0.60,0.00373,0.00068,0.00033,0.00199,0.00535,0.00512
LKE_results,HPC_0.70,0.00309,0.0017,0.00081,0.00461,0.00751,0.00615
LKE_results,BGL_0.70,0.00515,0.0006,0.00031,0.00231,0.00516,0.00625
LKE_results,Linux_0.30,0.0082,0.00079,0.00042,0.00435,0.00481,0.00532
LKE_results,Proxifier_0.70,0.00332,0.00036,0.00026,0.00128,0.00367,0.00484
LKE_results,HPC_0.10,0.00556,0.00059,0.00031,0.0052,0.00435,0.00382
LKE_results,BGL_0.80,0.00324,0.00047,0.00029,0.00119,0.00503,0.00621
LKE_results,Linux_0.60,0.00641,0.00113,0.00063,0.00425,0.00563,0.00491
LKE_results,HDFS_0.80,0.00334,0.00104,0.00061,0.0027,0.00706,0.00614
LKE_results,Hadoop_0.60,--,--,--,--,--,--
LKE_results,BGL_0.30,0.00887,0.00092,0.0005,0.00506,0.00595,0.00443
LKE_results,HDFS_0.20,0.00767,0.00096,0.0005,0.00491,0.00717,0.00458
LKE_results,Proxifier_0.20,0.00582,0.00093,0.00046,0.00435,0.0057,0.00516
LKE_results,HDFS_0.50,0.00656,0.00084,0.00053,0.00387,0.00524,0.00443
LKE_results,HDFS_0.90,0.00256,0.00038,0.00022,0.00059,0.00665,0.00557
LKE_results,Linux_0.20,0.0103,0.00087,0.0005,0.00574,0.00617,0.00464
Spell_results,HPC_0.20,0.00898,0.00239,0.00099,0.00837,0.00557,0.00398
Spell_results,HDFS_0.60,0.00554,0.00167,0.0009,0.0062,0.00777,0.00491
Spell_results,HDFS_0.70,0.00701,0.00149,0.00077,0.00471,0.00723,0.00603
Spell_results,Zookeeper_0.10,0.01831,0.00269,0.00152,0.01325,0.00709,0.00873
Spell_results,Linux_0.40,0.00946,0.00112,0.00059,0.00438,0.00593,0.00666
Spell_results,Linux_0.80,0.00332,0.00063,0.0003,0.00127,0.00548,0.00509
Spell_results,HPC_0.30,0.00602,0.00174,0.00079,0.00563,0.0085,0.00742
Spell_results,Hadoop_0.20,0.0213,0.00198,0.0012,0.00973,0.00578,0.00425
Spell_results,Zookeeper_0.60,0.00972,0.00094,0.0005,0.0031,0.00755,0.00554
Spell_results,Zookeeper_0.30,0.00973,0.00251,0.00148,0.01158,0.00763,0.00755
Spell_results,Zookeeper_0.80,0.00461,0.00129,0.00076,0.00292,0.00604,0.00543
Spell_results,HDFS_0.30,0.01184,0.00131,0.00076,0.00524,0.00711,0.00677
Spell_results,Proxifier_0.30,0.00764,0.00169,0.00078,0.00627,0.00915,0.00667
Spell_results,Proxifier_0.40,0.00648,0.00142,0.00067,0.00499,0.0078,0.00556
Spell_results,HPC_0.50,0.00553,0.00225,0.00102,0.00702,0.00836,0.00624
Spell_results,HPC_0.60,0.00681,0.00134,0.00064,0.00367,0.00598,0.0045
Spell_results,Zookeeper_0.90,0.00236,0.00115,0.00067,0.00219,0.00628,0.00617
Spell_results,BGL_0.40,0.01107,0.00145,0.00066,0.00547,0.00669,0.00665
Spell_results,Zookeeper_0.40,0.01118,0.00228,0.00132,0.01054,0.00861,0.0065
Spell_results,HDFS_0.40,0.01215,0.00186,0.00101,0.00859,0.00729,0.0073
Spell_results,HDFS_0.10,0.01646,0.00169,0.00094,0.00897,0.00728,0.00648
Spell_results,Linux_0.70,0.00561,0.00073,0.0003,0.0017,0.00579,0.00569
Spell_results,Hadoop_0.90,0.00162,0.00051,0.00025,0.00075,0.0053,0.00482
Spell_results,BGL_0.50,0.00456,0.0009,0.0004,0.00283,0.00433,0.00374
Spell_results,Proxifier_0.10,0.01055,0.00178,0.00086,0.00748,0.00534,0.00523
Spell_results,Hadoop_0.80,0.00595,0.00087,0.00051,0.00243,0.00411,0.00326
Spell_results,Proxifier_0.90,0.0017,0.00057,0.00033,0.00083,0.00639,0.00453
Spell_results,Zookeeper_0.70,0.00287,0.00079,0.00043,0.00414,0.00456,0.00557
Spell_results,Zookeeper_0.50,0.00786,0.00206,0.00119,0.00838,0.00734,0.00448
Spell_results,Proxifier_0.80,0.00272,0.00136,0.00069,0.0033,0.00493,0.00522
Spell_results,HPC_0.80,0.00324,0.00147,0.0008,0.00353,0.00592,0.00485
Spell_results,BGL_0.10,0.01482,0.00104,0.00048,0.00476,0.00492,0.00384
Spell_results,Hadoop_0.40,0.00727,0.00174,0.00096,0.00731,0.00645,0.00657
Spell_results,HPC_0.90,0.00317,0.00084,0.00043,0.0013,0.00571,0.00411
Spell_results,Hadoop_0.50,0.00646,0.00094,0.00055,0.0036,0.00585,0.00403
Spell_results,Hadoop_0.10,0.0109,0.00117,0.00064,0.00568,0.00489,0.00384
Spell_results,Hadoop_0.30,0.00817,0.00147,0.00091,0.00692,0.00729,0.00506
Spell_results,Linux_0.90,0.00199,0.00108,0.00041,0.00141,0.00559,0.00521
Spell_results,Hadoop_0.70,0.00463,0.00087,0.00049,0.00259,0.00534,0.00496
Spell_results,Proxifier_0.50,0.0069,0.00113,0.00057,0.00404,0.00471,0.00739
Spell_results,Linux_0.10,0.00812,0.00214,0.0011,0.01119,0.00775,0.00637
Spell_results,BGL_0.20,0.01456,0.00179,0.00083,0.00781,0.00852,0.00558
Spell_results,Zookeeper_0.20,0.01148,0.0013,0.00075,0.00623,0.0066,0.00555
Spell_results,Proxifier_0.60,0.00476,0.00103,0.00054,0.0033,0.00428,0.00349
Spell_results,BGL_0.90,0.00184,0.00054,0.00026,0.00078,0.00515,0.00633
Spell_results,Linux_0.50,0.00981,0.00115,0.00059,0.0045,0.00588,0.00371
Spell_results,HPC_0.40,0.00706,0.00121,0.0005,0.00351,0.00478,0.00379
Spell_results,BGL_0.60,0.00408,0.0015,0.00058,0.00421,0.00607,0.00533
Spell_results,HPC_0.70,0.00458,0.00102,0.00048,0.00249,0.00414,0.00366
