algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
MoLFI_results,Proxifier_0.30,145574,93389,0.64152,22151,0.15216,12871,0.08842,8715,0.05987,11248,0.07727,12960,0.08903,13944,0.09579,8374,0.05752,5658,0.03887,7600,0.05221,8469,0.05818
MoLFI_results,Proxifier_0.40,124654,79254,0.63579,18906,0.15167,11106,0.08909,7563,0.06067,9567,0.07675,11195,0.08981,12058,0.09673,7286,0.05845,4893,0.03925,6573,0.05273,7381,0.05921
MoLFI_results,HPC_0.50,63946,24069,0.3764,15718,0.2458,9006,0.14084,7336,0.11472,6830,0.10681,9095,0.14223,10102,0.15798,5447,0.08518,4952,0.07744,4277,0.06688,5542,0.08667
MoLFI_results,HPC_0.60,55437,15996,0.28854,12703,0.22914,7314,0.13193,5954,0.1074,5623,0.10143,7403,0.13354,7770,0.14016,4189,0.07556,3900,0.07035,3263,0.05886,4284,0.07728
MoLFI_results,Zookeeper_0.90,24723,12335,0.49893,3784,0.15306,2397,0.09695,2402,0.09716,2324,0.094,2486,0.10055,1682,0.06803,1152,0.0466,1213,0.04906,1228,0.04967,1247,0.05044
MoLFI_results,BGL_0.40,102367,31242,0.3052,21328,0.20835,13021,0.1272,12344,0.12059,10795,0.10545,13110,0.12807,9802,0.09575,6187,0.06044,6525,0.06374,5712,0.0558,6282,0.06137
MoLFI_results,Zookeeper_0.40,139902,77923,0.55698,16375,0.11705,10032,0.07171,7278,0.05202,8604,0.0615,10121,0.07234,7051,0.0504,4444,0.03177,3031,0.02167,3955,0.02827,4539,0.03244
MoLFI_results,HDFS_0.40,156720,59109,0.37716,52278,0.33358,30357,0.1937,23700,0.15123,25737,0.16422,30446,0.19427,5664,0.03614,3139,0.02003,1962,0.01252,2997,0.01912,3234,0.02064
MoLFI_results,HDFS_0.10,232768,100884,0.43341,76378,0.32813,43163,0.18543,33815,0.14527,37188,0.15976,43252,0.18582,8097,0.03479,4623,0.01986,2646,0.01137,4392,0.01887,4718,0.02027
MoLFI_results,BGL_0.50,92956,32573,0.35041,18735,0.20155,11410,0.12275,11049,0.11886,9624,0.10353,11499,0.1237,9607,0.10335,5966,0.06418,6225,0.06697,5492,0.05908,6061,0.0652
MoLFI_results,Proxifier_0.10,187898,117430,0.62497,28076,0.14942,16432,0.08745,10946,0.05826,14336,0.0763,16521,0.08793,17708,0.09424,10496,0.05586,6944,0.03696,9551,0.05083,10591,0.05637
MoLFI_results,Proxifier_0.90,20883,12917,0.61854,3419,0.16372,2090,0.10008,1729,0.08279,2002,0.09587,2179,0.10434,2185,0.10463,1322,0.06331,1087,0.05205,1345,0.06441,1417,0.06785
MoLFI_results,Zookeeper_0.70,70315,36762,0.52282,8860,0.126,5843,0.0831,4570,0.06499,4847,0.06893,5932,0.08436,3724,0.05296,2456,0.03493,1953,0.02778,2347,0.03338,2551,0.03628
MoLFI_results,Zookeeper_0.50,117813,60500,0.51353,14440,0.12257,8944,0.07592,6624,0.05622,7597,0.06448,9033,0.07667,5829,0.04948,3577,0.03036,2540,0.02156,3305,0.02805,3672,0.03117
MoLFI_results,Proxifier_0.80,41155,25956,0.63069,5818,0.14137,3502,0.08509,2593,0.06301,3185,0.07739,3591,0.08726,3679,0.08939,2149,0.05222,1614,0.03922,2116,0.05142,2244,0.05453
MoLFI_results,HPC_0.80,34047,8860,0.26023,6554,0.1925,3706,0.10885,3013,0.0885,3002,0.08817,3795,0.11146,3766,0.11061,2042,0.05998,1942,0.05704,1685,0.04949,2137,0.06277
MoLFI_results,BGL_0.10,133103,32399,0.24341,28872,0.21691,17448,0.13109,15965,0.11994,13978,0.10502,17537,0.13176,10980,0.08249,6788,0.051,7093,0.05329,6255,0.04699,6883,0.05171
MoLFI_results,HPC_0.90,20047,5656,0.28214,3890,0.19404,2205,0.10999,1933,0.09642,1944,0.09697,2294,0.11443,2321,0.11578,1254,0.06255,1179,0.05881,1178,0.05876,1349,0.06729
MoLFI_results,Proxifier_0.50,103718,66161,0.63789,15312,0.14763,9030,0.08706,5982,0.05768,7621,0.07348,9119,0.08792,9562,0.09219,5685,0.05481,3828,0.03691,5178,0.04992,5780,0.05573
MoLFI_results,BGL_0.20,121603,32741,0.26925,26059,0.2143,16038,0.13189,14539,0.11956,12750,0.10485,16127,0.13262,10291,0.08463,6477,0.05326,6800,0.05592,5967,0.04907,6572,0.05404
MoLFI_results,Zookeeper_0.20,190702,83348,0.43706,23524,0.12335,14227,0.0746,9716,0.05095,11587,0.06076,14316,0.07507,7841,0.04112,4956,0.02599,3126,0.01639,4320,0.02265,5051,0.02649
MoLFI_results,Proxifier_0.60,82681,52764,0.63816,11826,0.14303,6967,0.08426,4655,0.0563,6033,0.07297,7056,0.08534,7514,0.09088,4323,0.05229,2955,0.03574,4044,0.04891,4418,0.05343
MoLFI_results,BGL_0.90,31473,26621,0.84584,5058,0.16071,3216,0.10218,3353,0.10654,2985,0.09484,3305,0.10501,3668,0.11654,2411,0.07661,2479,0.07877,2290,0.07276,2506,0.07962
MoLFI_results,HPC_0.40,72718,25870,0.35576,19173,0.26366,10550,0.14508,8917,0.12262,8060,0.11084,10639,0.1463,12031,0.16545,6582,0.09051,5931,0.08156,5216,0.07173,6677,0.09182
MoLFI_results,BGL_0.60,82895,27924,0.33686,16600,0.20025,10192,0.12295,10053,0.12127,8666,0.10454,10281,0.12402,9199,0.11097,5697,0.06873,6011,0.07251,5283,0.06373,5792,0.06987
MoLFI_results,HPC_0.70,46705,10867,0.23267,9603,0.20561,5547,0.11877,4505,0.09646,4302,0.09211,5636,0.12067,5538,0.11857,2954,0.06325,2883,0.06173,2279,0.0488,3049,0.06528
MoLFI_results,BGL_0.70,64407,42537,0.66044,12270,0.19051,7728,0.11999,7715,0.11979,6693,0.10392,7817,0.12137,7735,0.1201,5078,0.07884,5388,0.08366,4712,0.07316,5173,0.08032
MoLFI_results,Proxifier_0.70,61690,38908,0.6307,8580,0.13908,5093,0.08256,3532,0.05725,4463,0.07235,5182,0.084,5424,0.08792,3100,0.05025,2148,0.03482,2973,0.04819,3195,0.05179
